pose_id,glass_pos_x,glass_pos_y,glass_pos_z,glass_quat_w,glass_quat_x,glass_quat_y,glass_quat_z,ik_time_sec,plan_time_sec,ik_plan_total_sec,ik_solutions_all,ik_solutions_safe,collision_check_time_sec,replan_time_sec,waypoint_collisions,segment_collisions,total_collisions,reconfigurations,replan_attempts,trajectory_modified,success,error_message
1,0.9880058004834005,0.0018674959530909606,-0.13,0.9999629627185462,0.0,0.0,0.008606578364679988,0.9698176319998311,0.09557900399886421,1.0653966359986953,243,243,10.224467501000618,9.49874138800078,0,0,0,26,0,True,True,
2,0.9910808949526596,0.0021275010168311237,-0.13,0.9972411731731208,0.0,0.0,-0.0742296607044502,0.15240076299960492,0.08927092900012212,0.24167169199972705,243,243,8.670708843999819,7.942756352998913,0,0,0,26,0,True,True,
3,0.9866847984006338,0.011906624224994656,-0.13,0.9993625349000763,0.0,0.0,-0.03570047391973506,0.15142972099965846,0.08704713299994182,0.23847685399960028,243,243,8.599266355999134,7.876231152999026,0,0,0,26,0,True,True,
4,0.9869781839338839,-0.011885856982091174,-0.13,0.9975900799274161,0.0,0.0,0.06938322874017597,0.1508236339996074,0.08862283999951615,0.23944647399912355,243,243,8.553119833000892,7.829223906999687,0,0,0,26,0,True,True,
5,1.0159862754000624,-0.012778747449519332,-0.13,0.9986988405359948,0.0,0.0,0.050996332339294424,0.16130976699969324,0.0887556580000819,0.25006542499977513,243,243,8.507464862001143,7.782962442002827,0,0,0,26,0,True,True,
6,0.9803895991635297,0.014786182843451404,-0.13,0.9993709577133348,0.0,0.0,0.035463909529715947,0.1530548959999578,0.0878565510010958,0.2409114470010536,243,243,8.590233517999877,7.856889147999027,0,0,0,26,0,True,True,
7,1.0019713675815454,0.0017285443558208435,-0.13,0.9981650108150077,0.0,0.0,-0.06055254895275284,0.15716743799930555,0.08791715400002431,0.24508459199932986,243,243,8.574512256000162,7.854708141001538,0,0,0,26,0,True,True,
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
MEAN,0.9930138457022449,0.0011073919946540688,-0.13,0.9986273656833567,0.0,0.0,-0.0008618049432959679,0.2708576929996655,0.08929275271423519,0.3601504457139007,243.0,243.0,8.817110452857378,8.091644647428827,0.0,0.0,0.0,26.0,0.0,7,7/7,
STD,0.011165279046810195,0.009764266735582568,0.0,0.0009330131233515305,0.0,0.0,0.052361925929732545,0.28536992973084574,0.0026525578046723538,0.2879385145160571,0.0,0.0,0.5763731195487055,0.5761808169407368,0.0,0.0,0.0,0.0,0.0,,,
